borough_name,area_code,Arson and Criminal Damage,Burglary,Drug Offences,Miscellaneous Crimes Against Society,Possession of Weapons,Public Order Offences,Robbery,Sexual Offences,Theft,Vehicle Offences,Violence Against the Person,Crime_cases
Barking and Dagenham,E09000002,1096,952,1343,260,148,1025,586,409,2556,1872,5201,15448
Barnet,E09000003,1599,2289,956,281,134,1450,746,447,4133,4114,6152,22301
Bexley,E09000004,1154,788,703,206,92,1084,241,300,1821,1904,4404,12697
Brent,E09000005,1708,1765,1895,319,215,1750,774,498,3749,3568,7391,23632
Bromley,E09000006,1416,1374,1018,267,146,1379,409,430,3219,2976,5410,18044
Camden,E09000007,1228,1852,1699,210,125,1664,975,454,8116,2535,5383,24241
Croydon,E09000008,2052,1880,2293,406,299,1904,739,714,3807,4081,8863,27038
Ealing,E09000009,1672,1765,1844,368,172,1811,719,519,3980,3826,7218,23894
Enfield,E09000010,1516,1938,1301,373,192,1502,835,531,3476,4835,7063,23562
Greenwich,E09000011,1611,1344,1597,352,186,1637,613,475,3496,2618,6891,20820
Hackney,E09000012,1468,2155,1342,254,254,1880,1292,578,7080,2668,6573,25544
Hammersmith and Fulham,E09000013,936,1198,1023,184,98,1266,442,350,4007,1846,4147,15497
Haringey,E09000014,1494,1636,1697,317,217,1520,1172,547,4525,4173,6187,23485
Harrow,E09000015,785,1072,865,187,83,868,389,254,1939,2427,3741,12610
Havering,E09000016,943,991,943,237,102,977,339,345,2578,1962,4244,13661
Hillingdon,E09000017,1609,1535,1397,652,165,1632,428,432,3997,3427,6421,21695
Hounslow,E09000018,1392,1471,1378,376,153,1443,506,405,3399,3121,6535,20179
Islington,E09000019,1178,1704,1241,219,146,1664,904,382,6069,2127,4990,20624
Kensington and Chelsea,E09000020,726,1255,913,137,113,990,465,308,4128,1978,3229,14242
Kingston upon Thames,E09000021,604,655,904,99,63,595,169,260,1920,939,2702,8910
Lambeth,E09000022,1661,2143,2031,324,285,1985,921,704,5443,2391,7392,25280
Lewisham,E09000023,1740,2038,1294,301,227,1808,773,593,3936,3161,7003,22874
Merton,E09000024,841,778,835,187,91,842,345,285,1882,1676,3468,11230
Newham,E09000025,1667,1502,2482,397,270,1621,1283,581,6262,3191,7457,26713
Redbridge,E09000026,1166,1370,1475,244,124,1131,545,416,3605,3442,5596,19114
Richmond upon Thames,E09000027,770,1035,509,136,41,738,192,239,2080,1870,2509,10119
Southwark,E09000028,1640,2103,1896,292,274,1771,1238,624,6900,2771,6915,26424
Sutton,E09000029,790,794,657,174,94,798,214,274,1674,1818,3445,10732
Tower Hamlets,E09000030,1663,2207,2434,348,213,1847,765,537,5817,2851,6826,25508
Waltham Forest,E09000031,1335,1503,1527,275,178,1206,612,410,3915,3086,5488,19535
Wandsworth,E09000032,1319,1859,1152,270,130,1479,616,533,4359,2886,5715,20318
Westminster,E09000033,1677,2413,2575,264,219,2480,1611,651,15379,3028,7192,37489
